dialogue_id,turn_id,no_context_text,full_context_text,no_context_score,full_context_score
9,2,They need to stop using the Racism card…its just meaningless anti-white bullshit used to guilt-trip whites! We are sick of it!,"These Muslim MP’s should stop pretending they are British. They’re not, they are just invaders! They need to stop using the Racism card…its just meaningless anti-white bullshit used to guilt-trip whites! We are sick of it!",0.718943,0.7252971
9,4,Islam isn’t a race…it’s a death cult and incompatible with British society.,"These Muslim MP’s should stop pretending they are British. They’re not, they are just invaders! They need to stop using the Racism card…its just meaningless anti-white bullshit used to guilt-trip whites! We are sick of it! Islam isn’t a race…it’s a death cult and incompatible with British society.",0.65996873,0.743089
9,6,This is a Christian country.,"These Muslim MP’s should stop pretending they are British. They’re not, they are just invaders! They need to stop using the Racism card…its just meaningless anti-white bullshit used to guilt-trip whites! We are sick of it! Islam isn’t a race…it’s a death cult and incompatible with British society. This is a Christian country.",0.046368107,0.71760553
10,0,"I’ve just seen a video posted by a Patriot, of Muslim men of fighting age sleeping in a church because the asylum hotels are full. Free food, clothes and blankets…they don’t do that for our homeless!","I’ve just seen a video posted by a Patriot, of Muslim men of fighting age sleeping in a church because the asylum hotels are full. Free food, clothes and blankets…they don’t do that for our homeless!",0.23379272,0.23379272
10,2,Its giving succour to the enemy!,"I’ve just seen a video posted by a Patriot, of Muslim men of fighting age sleeping in a church because the asylum hotels are full. Free food, clothes and blankets…they don’t do that for our homeless! Its giving succour to the enemy!",0.10175867,0.25462922
10,4,"They’re muzzies, they should be in a mosque!","I’ve just seen a video posted by a Patriot, of Muslim men of fighting age sleeping in a church because the asylum hotels are full. Free food, clothes and blankets…they don’t do that for our homeless! Its giving succour to the enemy! They’re muzzies, they should be in a mosque!",0.45703048,0.47772613
10,6,We should be sending they back not feeding and clothing them.,"I’ve just seen a video posted by a Patriot, of Muslim men of fighting age sleeping in a church because the asylum hotels are full. Free food, clothes and blankets…they don’t do that for our homeless! Its giving succour to the enemy! They’re muzzies, they should be in a mosque! We should be sending they back not feeding and clothing them.",0.20102765,0.45549932
11,0,Another County Cricket Club Chairman has resigned over ‘historic’ racist remarks from 4 years ago. This is becoming a witch hunt!,Another County Cricket Club Chairman has resigned over ‘historic’ racist remarks from 4 years ago. This is becoming a witch hunt!,0.3389984,0.3389984
11,2,"Who remembers what they said 4 years ago? End of cricket, the white man can’t play anymore!","Another County Cricket Club Chairman has resigned over ‘historic’ racist remarks from 4 years ago. This is becoming a witch hunt! Who remembers what they said 4 years ago? End of cricket, the white man can’t play anymore!",0.3561489,0.3969567
11,4,"This is about silencing the majority, so they don’t complain about being replaced.","Another County Cricket Club Chairman has resigned over ‘historic’ racist remarks from 4 years ago. This is becoming a witch hunt! Who remembers what they said 4 years ago? End of cricket, the white man can’t play anymore! This is about silencing the majority, so they don’t complain about being replaced.",0.038048524,0.3389984
12,0,"We pick them up in the Channel, ferry them to Dover, house them in hotels, provide free food and an allowance. We welcome them, so no wonder they come.","We pick them up in the Channel, ferry them to Dover, house them in hotels, provide free food and an allowance. We welcome them, so no wonder they come.",0.040183347,0.040183347
12,2,"We don’t need them, and we can’t even look after our own. We need to turn them back, not let them in.","We pick them up in the Channel, ferry them to Dover, house them in hotels, provide free food and an allowance. We welcome them, so no wonder they come. We don’t need them, and we can’t even look after our own. We need to turn them back, not let them in.",0.16678599,0.18744208
12,4,"These are ‘Economic migrants’ or worse. If they were asylum seekers, they would claim sanctuary in the nearest safe country.","We pick them up in the Channel, ferry them to Dover, house them in hotels, provide free food and an allowance. We welcome them, so no wonder they come. We don’t need them, and we can’t even look after our own. We need to turn them back, not let them in. These are ‘Economic migrants’ or worse. If they were asylum seekers, they would claim sanctuary in the nearest safe country.",0.24282593,0.24442963
12,6,The indigenous people of Britain are being replaced!,"We pick them up in the Channel, ferry them to Dover, house them in hotels, provide free food and an allowance. We welcome them, so no wonder they come. We don’t need them, and we can’t even look after our own. We need to turn them back, not let them in. These are ‘Economic migrants’ or worse. If they were asylum seekers, they would claim sanctuary in the nearest safe country. The indigenous people of Britain are being replaced!",0.30527395,0.28674445
13,0,"How come these ‘desperate’ migrants all have mobiles, designer gear, trainers and can afford to pay thousands to people smugglers?","How come these ‘desperate’ migrants all have mobiles, designer gear, trainers and can afford to pay thousands to people smugglers?",0.3140926,0.3140926
13,2,"Rapists, terrorists, and child molesters!","How come these ‘desperate’ migrants all have mobiles, designer gear, trainers and can afford to pay thousands to people smugglers? Rapists, terrorists, and child molesters!",0.7105462,0.6491204
13,4,"Young men of fighting age, an invading army.","How come these ‘desperate’ migrants all have mobiles, designer gear, trainers and can afford to pay thousands to people smugglers? Rapists, terrorists, and child molesters! Young men of fighting age, an invading army.",0.11378009,0.52811706
14,0,"We are full, we don’t need anymore migrants or asylum seekers.","We are full, we don’t need anymore migrants or asylum seekers.",0.3048984,0.3048984
14,2,So why are people homeless and sleeping on the streets?,"We are full, we don’t need anymore migrants or asylum seekers. So why are people homeless and sleeping on the streets?",0.017592486,0.22846605
14,4,You agree that immigration is a contributor then?,"We are full, we don’t need anymore migrants or asylum seekers. So why are people homeless and sleeping on the streets? You agree that immigration is a contributor then?",0.024731753,0.20102765
14,6,It might be a start.,"We are full, we don’t need anymore migrants or asylum seekers. So why are people homeless and sleeping on the streets? You agree that immigration is a contributor then? It might be a start.",0.013948329,0.19694418
15,0,"All these asylum seekers coming here and taking jobs away from native brits, no wonder this country is in a mess.","All these asylum seekers coming here and taking jobs away from native brits, no wonder this country is in a mess.",0.37751234,0.37751234
15,2,"They’ll do it for less than minimum wage though, so we don’t get offered the jobs because they’ll do it for cheaper.","All these asylum seekers coming here and taking jobs away from native brits, no wonder this country is in a mess. They’ll do it for less than minimum wage though, so we don’t get offered the jobs because they’ll do it for cheaper.",0.01419965,0.2854699
16,0,"Women getting into the labour market has caused the downfall of Western civilisation, they should be at home raising children. Abandoning traditional roles is the ruin of society.","Women getting into the labour market has caused the downfall of Western civilisation, they should be at home raising children. Abandoning traditional roles is the ruin of society.",0.32182294,0.32182294
16,2,"Oh really? It didn’t used to be impossible, it used to be the norm, what’s changed?","Women getting into the labour market has caused the downfall of Western civilisation, they should be at home raising children. Abandoning traditional roles is the ruin of society. Oh really? It didn’t used to be impossible, it used to be the norm, what’s changed?",0.021432023,0.2540519
17,0,"The trans agenda don’t want mens and womens toilets, everything has to be ‘all in 1’ now. Is this the future we want? Risking womens safety just so men in dresses feel comfortable?","The trans agenda don’t want mens and womens toilets, everything has to be ‘all in 1’ now. Is this the future we want? Risking womens safety just so men in dresses feel comfortable?",0.25462922,0.25462922
17,2,But many wont and many will feel aggrieved by them. You choose to go to that bar/cafe but public toilets will obviously become a problem.,"The trans agenda don’t want mens and womens toilets, everything has to be ‘all in 1’ now. Is this the future we want? Risking womens safety just so men in dresses feel comfortable? But many wont and many will feel aggrieved by them. You choose to go to that bar/cafe but public toilets will obviously become a problem.",0.04290464,0.23523538
18,0,"Immigrants add to the cost of the NHS, get loads of money in benefits, and create a housing shortage. Time to close the borders.","Immigrants add to the cost of the NHS, get loads of money in benefits, and create a housing shortage. Time to close the borders.",0.23162876,0.23162876
18,2,"They still cost us a lot as a country, and if they're not on benefits it means there are less jobs for British people too","Immigrants add to the cost of the NHS, get loads of money in benefits, and create a housing shortage. Time to close the borders. They still cost us a lot as a country, and if they're not on benefits it means there are less jobs for British people too",0.055768944,0.23162876
18,4,They probably only hire their own though,"Immigrants add to the cost of the NHS, get loads of money in benefits, and create a housing shortage. Time to close the borders. They still cost us a lot as a country, and if they're not on benefits it means there are less jobs for British people too They probably only hire their own though",0.02072494,0.20312156
19,0,Got on the train today and there's rainbow flag logos everywhere. Fed up of this LGBT stuff being shoved in our faces. When will this woke nonsense end?,Got on the train today and there's rainbow flag logos everywhere. Fed up of this LGBT stuff being shoved in our faces. When will this woke nonsense end?,0.4269174,0.4269174
19,2,"We just don't need to see it everywhere, even the trains are no longer free of it. This is the start of them spreading their agenda.","Got on the train today and there's rainbow flag logos everywhere. Fed up of this LGBT stuff being shoved in our faces. When will this woke nonsense end? We just don't need to see it everywhere, even the trains are no longer free of it. This is the start of them spreading their agenda.",0.030270588,0.37576625
20,0,"Soon it will be 'sexist' to even talk to birds, everyone gets offended so easily these days you can't say anything.","Soon it will be 'sexist' to even talk to birds, everyone gets offended so easily these days you can't say anything.",0.2553839,0.2553839
20,2,I'll call them what I want,"Soon it will be 'sexist' to even talk to birds, everyone gets offended so easily these days you can't say anything. I'll call them what I want",0.044141594,0.28087774
21,0,All these muslims coming over here want to enforce sharia law and take over. We cannot submit!!!,All these muslims coming over here want to enforce sharia law and take over. We cannot submit!!!,0.43720075,0.43720075
21,2,"There's so many of them though, they're trying to replace us","All these muslims coming over here want to enforce sharia law and take over. We cannot submit!!! There's so many of them though, they're trying to replace us",0.034748793,0.4013387
22,0,All muslims are terrorists!,All muslims are terrorists!,0.8252207,0.8252207
22,2,So you're saying there are no Muslim terrorists?? Wake up,All muslims are terrorists! So you're saying there are no Muslim terrorists?? Wake up,0.37751234,0.743089
23,0,Jews want to take over the world and decimate Western civilisation!,Jews want to take over the world and decimate Western civilisation!,0.43965456,0.43965456
23,2,Have you heard of the great replacement? You should look it up. Jews are using their power to ruin the West and replace white people.,Jews want to take over the world and decimate Western civilisation! Have you heard of the great replacement? You should look it up. Jews are using their power to ruin the West and replace white people.,0.47119883,0.50789946
24,0,Gay people need to live separately from us so we don't catch AIDS from them.,Gay people need to live separately from us so we don't catch AIDS from them.,0.50503236,0.50503236
24,2,"It's a gay disease, straight people don't get AIDS","Gay people need to live separately from us so we don't catch AIDS from them. It's a gay disease, straight people don't get AIDS",0.6027529,0.60311776
25,0,"If black people aren't all criminals, why are they disproportionately arrested and taking up space in our prisons?","If black people aren't all criminals, why are they disproportionately arrested and taking up space in our prisons?",0.50503236,0.50503236
25,2,You can't blame everything on 'institutional racism',"If black people aren't all criminals, why are they disproportionately arrested and taking up space in our prisons? You can't blame everything on 'institutional racism'",0.13214645,0.4475325
26,0,"More boats at Dover today, the migrant invasion continues…","More boats at Dover today, the migrant invasion continues…",0.23451406,0.23451406
26,2,If they’re really ‘refugees’ why didn’t they stop in the first safe country they got to?,"More boats at Dover today, the migrant invasion continues… If they’re really ‘refugees’ why didn’t they stop in the first safe country they got to?",0.10739898,0.17545098
27,0,SHARE if you think homeless veterans should be housed before any refugees!,SHARE if you think homeless veterans should be housed before any refugees!,0.10696511,0.10696511
27,2,"Veterans go to the bottom of the list like everybody else once they've left the barracks and army housing, we have to petition our own government to protect them.","SHARE if you think homeless veterans should be housed before any refugees! Veterans go to the bottom of the list like everybody else once they've left the barracks and army housing, we have to petition our own government to protect them.",0.028031485,0.046368107
28,0,Why don’t all these Muslim refugees go to other wonderful Muslim countries? Am I missing something?,Why don’t all these Muslim refugees go to other wonderful Muslim countries? Am I missing something?,0.36095104,0.36095104
28,2,"Why do we have so many coming here across the channel then? We’re full, there’s no room for them here.","Why don’t all these Muslim refugees go to other wonderful Muslim countries? Am I missing something? Why do we have so many coming here across the channel then? We’re full, there’s no room for them here.",0.165053,0.42129645
28,4,How is it our fault if there’s a war in some third world country?,"Why don’t all these Muslim refugees go to other wonderful Muslim countries? Am I missing something? Why do we have so many coming here across the channel then? We’re full, there’s no room for them here. How is it our fault if there’s a war in some third world country?",0.071337044,0.37340668
29,0,"LGBT history month now being taught in schools… I’m sick of this being shoved down our throats, what happened to British, European and World history being taught? Identity politics gone mad.","LGBT history month now being taught in schools… I’m sick of this being shoved down our throats, what happened to British, European and World history being taught? Identity politics gone mad.",0.30319387,0.30319387
29,2,"Do we have to discuss the sexuality of everyone in history when it’s largely irrelevant? If they were persecuted for it then fair enough, stick it in there and say how wrong it was, otherwise leave well alone.","LGBT history month now being taught in schools… I’m sick of this being shoved down our throats, what happened to British, European and World history being taught? Identity politics gone mad. Do we have to discuss the sexuality of everyone in history when it’s largely irrelevant? If they were persecuted for it then fair enough, stick it in there and say how wrong it was, otherwise leave well alone.",0.112746716,0.25462922
30,0,"Jews are so greedy, they're always thinking about money","Jews are so greedy, they're always thinking about money",0.6027529,0.6027529
30,2,I've never met a Jew who wasn't greedy,"Jews are so greedy, they're always thinking about money I've never met a Jew who wasn't greedy",0.4269174,0.60311776
31,0,Feminism gives women the muddled idea that women are free when they serve their employers but slaves when they help their husbands.,Feminism gives women the muddled idea that women are free when they serve their employers but slaves when they help their husbands.,0.33255672,0.33255672
31,2,"It’s ok for who? For the long term of our civilisation? Groups that have more children, like Muslims, will grow and those who don't, like white women, will decline. Women need to be prioritising having a family.","Feminism gives women the muddled idea that women are free when they serve their employers but slaves when they help their husbands. It’s ok for who? For the long term of our civilisation? Groups that have more children, like Muslims, will grow and those who don't, like white women, will decline. Women need to be prioritising having a family.",0.32764325,0.34757367
31,4,But what about Western civilisation? If the white population doesn't reproduce we will become a minority.,"Feminism gives women the muddled idea that women are free when they serve their employers but slaves when they help their husbands. It’s ok for who? For the long term of our civilisation? Groups that have more children, like Muslims, will grow and those who don't, like white women, will decline. Women need to be prioritising having a family. But what about Western civilisation? If the white population doesn't reproduce we will become a minority.",0.36043653,0.3666224
32,0,LGBT people are a danger to society and we need to take a stand against them.,LGBT people are a danger to society and we need to take a stand against them.,0.6544696,0.6544696
32,2,"It's a slippery slope, first we accept gays and transgenders, next it will be pedophiles.","LGBT people are a danger to society and we need to take a stand against them. It's a slippery slope, first we accept gays and transgenders, next it will be pedophiles.",0.50759226,0.7105462
32,4,Are you saying there's no gay or trans paedophiles? Because that's a lie.,"LGBT people are a danger to society and we need to take a stand against them. It's a slippery slope, first we accept gays and transgenders, next it will be pedophiles. Are you saying there's no gay or trans paedophiles? Because that's a lie.",0.45761138,0.6827122
33,0,Can't believe we are housing and feeding all these asylum seekers when they are coming over here ILLEGALLY,Can't believe we are housing and feeding all these asylum seekers when they are coming over here ILLEGALLY,0.295883,0.295883
33,2,Why do they come over hidden in lorries or in dinghies across the channel then? why not just get a flight?,Can't believe we are housing and feeding all these asylum seekers when they are coming over here ILLEGALLY Why do they come over hidden in lorries or in dinghies across the channel then? why not just get a flight?,0.11652588,0.30716252
34,0,All muslims are rapists,All muslims are rapists,0.8696708,0.8696708
34,2,What about what happened in Rotherham and Rochdale? Grooming gangs are a big problem.,All muslims are rapists What about what happened in Rotherham and Rochdale? Grooming gangs are a big problem.,0.06025757,0.7252971
34,4,Do you have any evidence about that?,All muslims are rapists What about what happened in Rotherham and Rochdale? Grooming gangs are a big problem. Do you have any evidence about that?,0.009675868,0.68408644
35,0,Muslims want to invade us and enforce sharia law!,Muslims want to invade us and enforce sharia law!,0.47323486,0.47323486
35,2,How do you explain the Taliban then?,Muslims want to invade us and enforce sharia law! How do you explain the Taliban then?,0.083999306,0.42349213
36,0,"As much as the media tries, you can't convince me to take transgenders seriously. A man can put on a dress and make up but at the end of the day they're still a man. That's basic biology.","As much as the media tries, you can't convince me to take transgenders seriously. A man can put on a dress and make up but at the end of the day they're still a man. That's basic biology.",0.32128486,0.32128486
36,2,"What do you mean sex isn't binary? There's men and there's women, nothing inbetween.","As much as the media tries, you can't convince me to take transgenders seriously. A man can put on a dress and make up but at the end of the day they're still a man. That's basic biology. What do you mean sex isn't binary? There's men and there's women, nothing inbetween.",0.22445217,0.31547862
37,0,"I tolerated fag pride, I tolerated seeing fags on tv, but I draw the line at schools teaching children about their perverted lifestyles. This is indoctrination.","I tolerated fag pride, I tolerated seeing fags on tv, but I draw the line at schools teaching children about their perverted lifestyles. This is indoctrination.",0.65996873,0.65996873
37,2,I don't know if homosexual relationships are ever healthy or happy...,"I tolerated fag pride, I tolerated seeing fags on tv, but I draw the line at schools teaching children about their perverted lifestyles. This is indoctrination. I don't know if homosexual relationships are ever healthy or happy...",0.37576625,0.6342749
37,4,and what about all the straight kids? Having this rammed down their throats isn't good for them,"I tolerated fag pride, I tolerated seeing fags on tv, but I draw the line at schools teaching children about their perverted lifestyles. This is indoctrination. I don't know if homosexual relationships are ever healthy or happy... and what about all the straight kids? Having this rammed down their throats isn't good for them",0.39644176,0.5972042
38,0,"If we accept transgenders it's a slippery slope. First you can identify as whatever gender you want, then it will be whatever age they want. Suddenly paedophilia is something we're being told to accept...","If we accept transgenders it's a slippery slope. First you can identify as whatever gender you want, then it will be whatever age they want. Suddenly paedophilia is something we're being told to accept...",0.4013387,0.4013387
38,2,It's perversion all the same. You must be able to see how allowing these freaks to have their way is harmful.,"If we accept transgenders it's a slippery slope. First you can identify as whatever gender you want, then it will be whatever age they want. Suddenly paedophilia is something we're being told to accept... It's perversion all the same. You must be able to see how allowing these freaks to have their way is harmful.",0.47323486,0.51980776
39,0,It disgusts me when white women have children with black men. We need to protect our bloodlines and ethnic heritage.,It disgusts me when white women have children with black men. We need to protect our bloodlines and ethnic heritage.,0.5972042,0.5972042
39,2,"We need to keep the white race alive, polluting it by breeding with blacks means there will be less white children in the future.","It disgusts me when white women have children with black men. We need to protect our bloodlines and ethnic heritage. We need to keep the white race alive, polluting it by breeding with blacks means there will be less white children in the future.",0.53579444,0.60254884
40,0,"If you need any more proof that whites and blacks are not equal, look at the technological advancement achieved by each. Whites took us to space, Africans are still living in third world shitholes. We are not the same.","If you need any more proof that whites and blacks are not equal, look at the technological advancement achieved by each. Whites took us to space, Africans are still living in third world shitholes. We are not the same.",0.60254884,0.60254884
40,2,"No I didn't, sounds fake, is it true?","If you need any more proof that whites and blacks are not equal, look at the technological advancement achieved by each. Whites took us to space, Africans are still living in third world shitholes. We are not the same. No I didn't, sounds fake, is it true?",0.0665887,0.584095
41,0,We are letting Muslim terrorists come to our country as 'refugees'. This has got to stop.,We are letting Muslim terrorists come to our country as 'refugees'. This has got to stop.,0.5716857,0.5716857
41,2,"So you're saying none of them are terrorists? We know that's a lie, Muslim migrants commit crimes all the time.","We are letting Muslim terrorists come to our country as 'refugees'. This has got to stop. So you're saying none of them are terrorists? We know that's a lie, Muslim migrants commit crimes all the time.",0.5559701,0.61223894
42,0,"Blacks and civilisation are incompatible. You can have a thriving society or you can have diversity, you can’t have both.","Blacks and civilisation are incompatible. You can have a thriving society or you can have diversity, you can’t have both.",0.5559701,0.5559701
42,2,"Oh yeah, like who?","Blacks and civilisation are incompatible. You can have a thriving society or you can have diversity, you can’t have both. Oh yeah, like who?",0.02035702,0.52811706
43,0,"I’ve never met a happy gay person. It’s a miserable, perverted lifestyle. Those people need help.","I’ve never met a happy gay person. It’s a miserable, perverted lifestyle. Those people need help.",0.7675452,0.7675452
43,2,"People who take that route in life have mental issues, I doubt homophobia is the reason they're miserable since our society is so 'woke' now.","I’ve never met a happy gay person. It’s a miserable, perverted lifestyle. Those people need help. People who take that route in life have mental issues, I doubt homophobia is the reason they're miserable since our society is so 'woke' now.",0.47119883,0.6342749
44,0,"Ask yourself after millions of immigrants have entered the UK, many illegally","Ask yourself after millions of immigrants have entered the UK, many illegally",0.11336674,0.11336674
44,2,So you feel safe with all these rapists and criminals out on our streets?,"Ask yourself after millions of immigrants have entered the UK, many illegally So you feel safe with all these rapists and criminals out on our streets?",0.41910073,0.45757914
45,0,"Pro-trans zealots view themselves as a virtuous and inclusive subset of ""progressive modernisers"". In reality, they are responsible for the growing social erasure of women. This cultural assault on women's rights is uncivilised and not to be tolerated.","Pro-trans zealots view themselves as a virtuous and inclusive subset of ""progressive modernisers"". In reality, they are responsible for the growing social erasure of women. This cultural assault on women's rights is uncivilised and not to be tolerated.",0.31132057,0.31132057
45,2,When their rights trump or override women’s hard won rights then it is a problem. When it affects women's safe spaces then it’s a problem. There’s evidence to show that abuse of these rights are happening.,"Pro-trans zealots view themselves as a virtuous and inclusive subset of ""progressive modernisers"". In reality, they are responsible for the growing social erasure of women. This cultural assault on women's rights is uncivilised and not to be tolerated. When their rights trump or override women’s hard won rights then it is a problem. When it affects women's safe spaces then it’s a problem. There’s evidence to show that abuse of these rights are happening.",0.13214645,0.2396185
