text,parent_text,text_score,parent_score,actual_score,api_score
"Beautiful, this is what I wanted to hear. I don't have to comment on this, as your understanding of intellectual property and its use is clearly reflected from this statement. You have just slain the whole world of reference and citations. Please don't remove your statement as it would be used for further references. ","The references and Material you cut and paste from your references web sites are copy right protected and it is against the policy of Wikipedia Copy right policies, e.g. ""© Copyright Anti-Ahmadiyya Movement in Islam, All rights reserved "" is one of your reference site that you edited in Mirza Ghulam Ahmad Artical. Pls see the copy right policies of Wikipedia Beautiful, this is what I wanted to hear. I don't have to comment on this, as your understanding of intellectual property and its use is clearly reflected from this statement. You have just slain the whole world of reference and citations. Please don't remove your statement as it would be used for further references. ",0.1182615,0.13908891,0,0.2305
"I suspect the new editor was finally intimidated enough by personal attacks and allegations to leave (who can blame them).  Another one bites the dust, I guess.  ''' '''","Hi, I'm a few days behind.  Had a very bad cold this week.  The standard place to report suspected sockpuppets is WP:SSP. ''''I suspect the new editor was finally intimidated enough by personal attacks and allegations to leave (who can blame them).  Another one bites the dust, I guess.  ''' '''",0.28312725,0.32397532,0,0.3880999999999999
"This really deserves to be mentioned explicitly in the main article. I've added a ""Triva"" item to that effect.  ","See Talk:Faith Lehane#Faith's Last Name (same applies for both Faith and Kendra)  This really deserves to be mentioned explicitly in the main article. I've added a ""Triva"" item to that effect.  ",0.021903414,0.017089844,0,0.0637
Woops sorry at exactly the same time a spammer was advertising his blog on the same article ). I didn't follow your link. But why are you removing the school's official website to put an other one instead?   ,"This is not spamming, this is perfectly valid. I am not advertising anything.Woops sorry at exactly the same time a spammer was advertising his blog on the same article ). I didn't follow your link. But why are you removing the school's official website to put an other one instead?   ",0.11212669,0.11347008,0,0.1071
"I always hear about ""Archduke Ferdinand"" while the location is mentioned only afterward. Sometimes the location isn't mentioned at all. I'm referring to history books, documentaries, and such. ","'''Oppose'''. Assassination in Sarajevo is more commonplace. I always hear about ""Archduke Ferdinand"" while the location is mentioned only afterward. Sometimes the location isn't mentioned at all. I'm referring to history books, documentaries, and such. ",0.017341165,0.11388343,0,0.0517
"University's library will be a good choice. After finals, I will scan the article to find the weak points so I can borrow books from library according to my findings. See you, ","You might need to visit a library and get some real data; the text is full of &*^%$ I'm not a citizen of Istanbul, just familiarity, so I did not feel like correcting. University's library will be a good choice. After finals, I will scan the article to find the weak points so I can borrow books from library according to my findings. See you, ",0.02779579,0.21642438,0,0.1271
Not in the cooler he didnt 8-(,"And remember when Steve McQueen was in action he had a whistle and a smile. Plus, you get to ride the motorbike at the end!  Not in the cooler he didnt 8-(",0.034984488,0.025203144,0,0.0434
Can the article say WHY this place is famous? ++: /,"...that famous Manhattan, New York landmark '''Nuyorican Poets Cafe''' began in 1973 in the apartment living room of one of its co-founders? (self nom; 1727 characters)  Can the article say WHY this place is famous? ++: /",0.03015274,0.02308189,0,0.0411
I filed an informal request for comment at WP:RS. -  //WRE),"Keep tryingthe more you learn about the subject, the more you will be able to contribute to the article. Start with the notable Barrington residents, by reading the articles about them.-I filed an informal request for comment at WP:RS. -  //WRE)",0.013320025,0.019477395,0,0.1303
P.S. See also  for information on how to differentiate with respect to a vector. ,"It follows from the fact that , and . P.S. See also  for information on how to differentiate with respect to a vector. ",0.013885498,0.015707577,0,0.0501
All the primary sources (patristic evidence) and the overwhelming majority of secondary sources (which include some of the scholars you rely on) assert the primacy of Jesus in the eyes of Ebionites since they viewed him as the Messiah regardless of how they defined the concept. ,The primacy of Jesus' role w.r.t. the Ebionites is also speculation.  All the primary sources (patristic evidence) and the overwhelming majority of secondary sources (which include some of the scholars you rely on) assert the primacy of Jesus in the eyes of Ebionites since they viewed him as the Messiah regardless of how they defined the concept. ,0.034748793,0.038048524,0,0.0049
"I've thought about it, and I can't think of anything better and more concise than ""Disused dinosaur names"", unless we want to go longer, like ""Dinosaur names not in scientific usage."" ","O.K. I'll sleep on it, and see if I come up with anything more scientific. I've thought about it, and I can't think of anything better and more concise than ""Disused dinosaur names"", unless we want to go longer, like ""Dinosaur names not in scientific usage."" ",0.049831573,0.049089402,0,0.0898
"I'm using IE.  The chart without lines is unreadable because the columns don't line up.  The ""extra columns"" are not redundant and they are useful information and should stay.","What browser are you using Jon? Works fine in Opera and Netscape. The wide grided version conflicted with the image in Netscape. Grid lines - esp. wide ones - are an unnecesary distraction for a short table. Extra columns redundat and not needed, see above discussion, -I'm using IE.  The chart without lines is unreadable because the columns don't line up.  The ""extra columns"" are not redundant and they are useful information and should stay.",0.018849092,0.017969469,0,0.1198
" Well, it should. I will fix that. "," It doesnt say so anywhere in Planckian locus  Well, it should. I will fix that. ",0.021314176,0.041915078,0,0.0377
" copyrights stated on both pages, artukraine site is selling such photos, so it can't be used. ","Can you elaborate? I do not see copyvio here.  copyrights stated on both pages, artukraine site is selling such photos, so it can't be used. ",0.02920996,0.032391842,0,0.0567
"Thanks, I've opened an advocacy request there. Also, thank you for trying your best to mediate. I see no fault in any of your actions. Thank you for blanking the accusations against me when closing the case. ","The WP:AMA provides advocacy.  Thanks, I've opened an advocacy request there. Also, thank you for trying your best to mediate. I see no fault in any of your actions. Thank you for blanking the accusations against me when closing the case. ",0.03734144,0.053295042,0,0.0957
"Can you provide citation for the  I added in Astadiggajas.I have added
the source reference for this tagged page. (Prof Sastri).thanks.","I see you have done a good job here. We need to continute to work on this page and make it exemplery.thanks.Can you provide citation for the  I added in Astadiggajas.I have added
the source reference for this tagged page. (Prof Sastri).thanks.",0.012314741,0.011372286,0,0.0144
72.138.191.63 this isn't a shouting contest. we need to treat one another with respect despite our disagreements. ,well done! 72.138.191.63 this isn't a shouting contest. we need to treat one another with respect despite our disagreements. ,0.05354243,0.048842013,0,0.1654
"i disagree.  if the original kind was 14 Camas, it could easily differentiate into camels and llamas.  no new mechanism.  no nothing.  ","No, that's not right, and the edits you made on that basis are seriously flawed.  latent heterozygosity = inability to interbreed.  Creationists haven't proposed (that I'm aware of, or that you've cited) any ''new'' mechanisms to explain ''speedy microevolution''  you're just tried to 'claim' parts of the standard mechanism as in some way particular to CB.  i disagree.  if the original kind was 14 Camas, it could easily differentiate into camels and llamas.  no new mechanism.  no nothing.  ",0.04834723,0.19219314,0,0.0646
"Hi, MadDogCrog.  Good to know that my contribution is not forgotten.  I'm tempted to leave it at that, but I did want to mention that most of my work these days is in the staunchly conservative area of good grammar and sentence structure.  This has liberals calling me an archconservative and conservatives calling me an archliberal. ","this article will never make it to CD as long as Rick dilegently stands guard here with his POV Rants and deliberatly beats any other contributor with his diatribe of POV babble. if they dare question his obvious POV contribution! Hi, MadDogCrog.  Good to know that my contribution is not forgotten.  I'm tempted to leave it at that, but I did want to mention that most of my work these days is in the staunchly conservative area of good grammar and sentence structure.  This has liberals calling me an archconservative and conservatives calling me an archliberal. ",0.07291982,0.23812068,0,0.1251
"yes, the timescales are different.  ","However, creationists do disagree on the timescales invovled. Biology doesn't claim that camels and llamas descended from the same ancestor a few thousand years ago. yes, the timescales are different.  ",0.017969469,0.038991302,0,0.0749
"Great!  Note my only concern was that you might not have time, etc.  Is there anything a few of us (on both sides of the argument) can help in the grunt work?  regards, ","Yes i very much want to help with this and realise it's been a while, which I'm sorry about. Rarelibra provided some data, above, that might be relevant to this. ++: /Great!  Note my only concern was that you might not have time, etc.  Is there anything a few of us (on both sides of the argument) can help in the grunt work?  regards, ",0.03309893,0.021785567,0,0.0673
rvv = revert vandalism - don't call me a liar.,"You used ""rvv"".  What does that mean?  Shall we head over to your user page and find out? rvv = revert vandalism - don't call me a liar.",0.42349213,0.40614098,0,0.3526
industry = business. there are already plenty of articles on chemistry itself. and please cite reliable sources. ,"The article is titled chemical industry, no chemical businesses.  Therefore, it would seem logical that it relates to those terms and should cover such material.  industry = business. there are already plenty of articles on chemistry itself. and please cite reliable sources. ",0.017969469,0.016712861,0,0.0268
I put back the removed esposito quote. I don't think you will find bad points of his legacy from RS. ''Peace''. '''''',The Middle Way is often best. I put back the removed esposito quote. I don't think you will find bad points of his legacy from RS. ''Peace''. '''''',0.05799546,0.049089402,0,0.1075999999999999
"I'm not complaining, I was just making a point, although the point about mouthflaps does make sense. I think he was referred to as simply 'boss' or 'manager' in later episodes though.","Its because of the mouth flaps. ""Kis-ke"" vs ""ur-a-ha-ra"". You simply can't fit Urahara with the lip movements. I'm not complaining, I was just making a point, although the point about mouthflaps does make sense. I think he was referred to as simply 'boss' or 'manager' in later episodes though.",0.05280026,0.06579731,0,0.0292
" I disagree, Smee. This is not a film and categorizing the article as such is not right. I will ask the third opinion user to comment again. Good night for now.  ","Yes, and ''those'' edits you made, are actually fine.  But for the simple reason itself that TV Documentary redirects to Documentary film, and the fact that virtually all of the sources refer to the program as ""program"", ""TVTV program"" ""award-winning documentary"" or ""documentary"", the film categories can remain and are inclusive.   . I disagree, Smee. This is not a film and categorizing the article as such is not right. I will ask the third opinion user to comment again. Good night for now.  ",0.059232414,0.055274166,0,0.1929
"And just where are you going to get this driver's license and passpoort information, without violating Wikipedia:No original research?  ","I agree with both of you. I'll try to update the page with something.  20px - And just where are you going to get this driver's license and passpoort information, without violating Wikipedia:No original research?  ",0.13561769,0.07054565,0,0.2922
Women started shaving there heads when their husbands died so they wouldn't raped by islamic invaders.  That was also the time when sati became more widespread.,"Also, many Dalits who were persecuted debate as to whether they are Hindus or not. Persecution of Dalits is discussed at length in their articles, as are reform movements and emancipation.Women started shaving there heads when their husbands died so they wouldn't raped by islamic invaders.  That was also the time when sati became more widespread.",0.509388,0.39915034,0,0.5615
"I still don't see hiw it's helping with regard to the state of the article.  So in other words, yes, you want me to go on a evidenciary hunt for eocene proto-carnivores, so's you can tell me after the fact what criteria you'll be using to dismiss them?  (The genetic similarity point you don't address at all.)  ","i'm just addressing the questions as i've been instructed.  ""creationist common sense"" is probably a good name for it.  you tell me the bear-dogs are extinct, but i haven't seen the fossils.  i've seen bears, and i've seen dogs, but no bear-dogs.  I still don't see hiw it's helping with regard to the state of the article.  So in other words, yes, you want me to go on a evidenciary hunt for eocene proto-carnivores, so's you can tell me after the fact what criteria you'll be using to dismiss them?  (The genetic similarity point you don't address at all.)  ",0.104361884,0.08083374,0,0.2255
"Probably. Heh, this is frustrating-","SHe had to protect because she knew a block would get overturned.  Probably. Heh, this is frustrating-",0.085582085,0.1013248,0,0.2033
Whatever. I've never had any knowledge of him prior.— , is an Art Dominique sockpuppet. Whatever. I've never had any knowledge of him prior.— ,0.027560094,0.3811502,0,0.0782
Happy times.  ,"The proofread is complete. A few concerns remain about content; namely, that a few sentences need clarifying. Happy times.  ",0.016964182,0.016712861,0,0.0583
" That doesn't buy your way out of WP:CIV, and remember that WP:AGF cuts both ways.  Why should we assume good faith of you, if you continue to broadcast your intention to adhere to WP:CIV and WP:NPA only when you feel like it? "," ""This guideline does not require that editors continue to assume good faith in the presence of evidence to the contrary.""  -  That doesn't buy your way out of WP:CIV, and remember that WP:AGF cuts both ways.  Why should we assume good faith of you, if you continue to broadcast your intention to adhere to WP:CIV and WP:NPA only when you feel like it? ",0.10609736,0.083999306,0,0.0901
"The repal of the Fairness Doctrine clearly helped Rush's career. I think the quote I put in (from the Wall Street Journal) makes this clear, as does the article, which is linked in the reference. ","A lot of commentators believe that repealing the Fairness Doctrine was the act that gave birth to the conservative talk radio genre. You're right, however; this sentence seems like an unfinished thought. The repal of the Fairness Doctrine clearly helped Rush's career. I think the quote I put in (from the Wall Street Journal) makes this clear, as does the article, which is linked in the reference. ",0.017843807,0.02249265,0,0.0713
" Opps, I think I got what you mean now. My apologies for the error. I suppose the current version's  history is now correct? - "," I presume you want a userfied copy of tbe deleted page so that you can work on the other page? -  Opps, I think I got what you mean now. My apologies for the error. I suppose the current version's  history is now correct? - ",0.019980038,0.0466155,0,0.0511
"Ack, I did.  Sorry about that.  I'll request comment at WP:RFC/USER now.  (To be sure, WP:RFC/USER and not WP:RFC/BIO, right?)  ","This is becoming frustrating as Darkcat21 appears to be ignoring good-faith attempts to fix the situation.  I've warned Darkcat21 with  since this edit involved removing citations.  Since WP:3O has already been used, what do you think about opening up a request for comment?  Ack, I did.  Sorry about that.  I'll request comment at WP:RFC/USER now.  (To be sure, WP:RFC/USER and not WP:RFC/BIO, right?)  ",0.021196328,0.12260055,0,0.0618
"You need to subst the template - at least I think that is what broke it. You should be doing this with all templates on user talk pages, AFAIK. →  • ","I really hate having the sig automatically included in the warning template. I tried about four times to get the syntax right here, then gave up and went to an old template. Could we just go back to the way things used to be, as far as sigs are concerned? -You need to subst the template - at least I think that is what broke it. You should be doing this with all templates on user talk pages, AFAIK. →  • ",0.055026773,0.2396185,0,0.1229
"I found a good way to include pics. I tried it out with A and it works quite nicely! See . I will locate different pics. To be honest, I hate that the first pic is a porn star, but this is just an example.  | ","Just goes to show, we're everywhere!  | I found a good way to include pics. I tried it out with A and it works quite nicely! See . I will locate different pics. To be honest, I hate that the first pic is a porn star, but this is just an example.  | ",0.29771072,0.2855005,0,0.3779
I'm not especially bold and sometimes find it helpful to seek a second opinion from other editors. -) ,"Thanks. I didn't want to barge in and remove them myself, in case I was missing something. Perhaps I was not BOLD enough this one time.  I'm not especially bold and sometimes find it helpful to seek a second opinion from other editors. -) ",0.045378547,0.04216247,0,0.0666
A message has been left there. ,I'm sure this is a good place for your request. I'm in a similar position to you so I won't be able to help much. You could also leave a message at WikiProject Religion.A message has been left there. ,0.01822079,0.021432023,0,0.0532999999999999
"Samuel Weems actually was interviewed by Tall Armenian Tale, but I suppose that's beside the point.  ","Look, I don't know whatever you are Azeris or Turk, but it doesn't matter much. But, suffice to say that not much is needed to destroy his character only by quoting him. His wordings are made in such fashions that tallarmeniantale.com would sound as an Armenophilic webside when compared.  Samuel Weems actually was interviewed by Tall Armenian Tale, but I suppose that's beside the point.  ",0.024142517,0.20265625,0,0.0658
"Agreed. ''Very'' nice work, JFPerry. Just one copyediting issue I see: it overuses parenthetical statements. Everywhere possible, work them into the text instead. ","That is a ''significantly'' better Citizendium article, JF, and I think it should replace the bloated blog of a page that currently exists. Agreed. ''Very'' nice work, JFPerry. Just one copyediting issue I see: it overuses parenthetical statements. Everywhere possible, work them into the text instead. ",0.039462693,0.05725329,0,0.0671
I just left a message.  ,"Depends on what Selmo thinks. If he hasn't the need for a coach (or wants a different one), I'd be happy to take another. To be honest, the kind of student that I want the most is a complete n00b/newb/newbie/newcomer who has many questions to ask.  I just left a message.  ",0.020960633,0.10522962,0,0.0258
 Does a single vagrant record really justify inclusion?,"To elaborate: single record from North Keeling, 26 April - 15 June 1988. Info from HANZAB 1B, p.1111.  Does a single vagrant record really justify inclusion?",0.06104896,0.021549871,0,0.0778
I deleted the para about artistic representations as it seems to me unrelated both the the article and to this section. The Egerton para is relevant to the article but the relevance needs to be made more explicit IMO. ,"The section is about ''sources'' for John, and although I belieev Egerton has been suggested as a source, the real interest and relevance is the ''closeness'', as you yourself say. I would certainly mention Egerton in the article, but I'm not sure it belongs under 'sources'. I deleted the para about artistic representations as it seems to me unrelated both the the article and to this section. The Egerton para is relevant to the article but the relevance needs to be made more explicit IMO. ",0.024142517,0.02449606,0,0.0499
"Thanks, Special-T. I like what you've done there. ","I have changed the lead paragraphs in an attempt at clarity. - Thanks, Special-T. I like what you've done there. ",0.01024134,0.011623607,0,0.0998
 Wot is your count? It used to be 1000 needed ,"d
Having watched RfA for a while, I doubt I'd qualify. Not enough edits.  Wot is your count? It used to be 1000 needed ",0.061444655,0.04760506,0,0.0884999999999999
"Actuallly, I wish he hadn't '''re'''-uploaded the image. I'm sure the current agitation for placing more and more explicit photographs into Wikipedia will run its course and be dealt with eventually. - ","I have no opinion of his intent, and I'm not familiar with the previous history of this issue. I'm merely seeing to it that ""process"" gets done on this occasion, so that the outcome could be cited as definitive on future occasions.  Like you, I wish he hadn't uploaded the image.  Actuallly, I wish he hadn't '''re'''-uploaded the image. I'm sure the current agitation for placing more and more explicit photographs into Wikipedia will run its course and be dealt with eventually. - ",0.04315203,0.048594624,0,0.0703
"Reaves, Reaves, Reaves, will you ever learn?  It's your old friend from last week.  You really should just give up, close your account and move on. Your talk history is starting to get embarrassing....  ","Another sockpuppet? Wow...  Reaves, Reaves, Reaves, will you ever learn?  It's your old friend from last week.  You really should just give up, close your account and move on. Your talk history is starting to get embarrassing....  ",0.4269174,0.52272606,0,0.5373
"Ancheta Wis, even if those edits are reversed, or saved in some place, they are valuable for one main reason: They have jump-started the conversation which was dead here for many many weeks. I started it because I was unable to get a response, in spite of repeated attempts for weeks and weeks. So if the edits got people interested in returning, then they served a major purpose.","I do have some people I would approach, but I have no idea if they would accept. I will if people want. These are experienced people from WP with no interest in physics, but very good writers.Ancheta Wis, even if those edits are reversed, or saved in some place, they are valuable for one main reason: They have jump-started the conversation which was dead here for many many weeks. I started it because I was unable to get a response, in spite of repeated attempts for weeks and weeks. So if the edits got people interested in returning, then they served a major purpose.",0.0466155,0.10045706,0,0.0816
No youre not! Please dont try to patronise me 8-(( You will feel the full force of an Rfc. Are you braced for it?,"We're just trying to help.  That your behavior has been egregious is obvious to everyone but yourself.  If an RfC can give you the reality check that gets you back on the right path, then we should do it by all means, and immediately. -  No youre not! Please dont try to patronise me 8-(( You will feel the full force of an Rfc. Are you braced for it?",0.14082454,0.2854971,0,0.2498
Cookies are working. IE version is 6.0.2900.2180.xpsp2_gdr.050301-1519 Happy Editing by  on ,"Still not working. It still say ""You are not on the user list"" Happy Editing by  on Cookies are working. IE version is 6.0.2900.2180.xpsp2_gdr.050301-1519 Happy Editing by  on ",0.013005874,0.026263772,0,0.0839
Duly noted.  { • } ,"Well, it's up, except for /b/. Now, GET ON WITH YOUR LIVES. I know I will.— Duly noted.  { • } ",0.015393426,0.41168427,0,0.0199
"Actually, I just noticed it's written as ""Sec"" in ''Doctor Who Fact Files Vol. 7: Daleks'' too. —  • ","It's a direct quote from RTD.  Let's put it this way: do ''you'' have a citation for the spelling ""Sek""?  If not, we really should go with what's been in print in a reliable source. —  • Actually, I just noticed it's written as ""Sec"" in ''Doctor Who Fact Files Vol. 7: Daleks'' too. —  • ",0.019226074,0.032627538,0,0.0712
I think we should add something about the journalistic standards in the lead.  ,"Thanks for the reply, having re-read the intro the section on the bans could be lengthend. Could you say what else specifically you think needs adding to the intro. I think we should add something about the journalistic standards in the lead.  ",0.019728716,0.022964042,0,0.0678
"You're most welcome!  I really appreciate you understanding and not thinking that I'm trying to shutdown your contribution at allto the contrary, I'm trying to avoid the prior wars on the Tarot pages that were resulting in censorship of a lot of good information about the way that you and I use tarot.  Personally, I think the creation of a separate page for our purposes is a good move.","Thanks so much for the above info I did not realise what the problem was and thankyou so much for putting me in the correct place, I really appreciate it!  Kindest regards,  KarynYou're most welcome!  I really appreciate you understanding and not thinking that I'm trying to shutdown your contribution at allto the contrary, I'm trying to avoid the prior wars on the Tarot pages that were resulting in censorship of a lot of good information about the way that you and I use tarot.  Personally, I think the creation of a separate page for our purposes is a good move.",0.033334624,0.035220183,0,0.0972
"Sorry, actually it's Toucheng, Yilan.","Taiwanlove indef'ed, and Nationalist blocked for another 72 hours for sockpuppetry, 3RR, and because it's his 4th block. Sorry, actually it's Toucheng, Yilan.",0.015267765,0.30514878,0,0.2473999999999999
"Acronyms are always capitalised (with the exception of maybe scuba). So yes, this article should either be moved to LOL, LOL (Internet slang) or something along those lines. ","Who can substantiate the claims made in this article
(a) about the year 1973 and
(b) about '''LOL''' being the ""most widely used abbreviation""?
And should the article be moved to the capitalised LOL? Acronyms are always capitalised (with the exception of maybe scuba). So yes, this article should either be moved to LOL, LOL (Internet slang) or something along those lines. ",0.15600902,0.14082454,0,0.2296
"So, therefore, if Autoblog has won awards, this is notable enough for it to have its own article as long as it's mentioned in the article? '''''' ","According to their respective articles, Engadget has won awards and Weblogs was bought for $25m. Autoblog's article said nothing like that, only that it's a blog service (or whatever it is).  So, therefore, if Autoblog has won awards, this is notable enough for it to have its own article as long as it's mentioned in the article? '''''' ",0.027677942,0.021903414,0,0.0192
" The use of larger text is much more efficient in making things more visible. However, this is a moot point; see below."," If you read any decent book on typography, you would learn that italics are used just for that purpose. –   The use of larger text is much more efficient in making things more visible. However, this is a moot point; see below.",0.018849092,0.063027434,0,0.0238
"I've asked Jaakobou if he is also MouseWarrior. Here and on his . He has not responded to that particular question, yet.  ","This is getting very annoying. Now we have ""MouseWarrior"", ""Paul T. Evans"" and Jaakobou all reverting this article.I've asked Jaakobou if he is also MouseWarrior. Here and on his . He has not responded to that particular question, yet.  ",0.051068526,0.16158698,0,0.0976
"Take a look at Image:Crystal Clear action bookmark.png and Image:Five-pointed star.svg.  If you want me to, I'll try to put these together into a series of ratings star images when I get home this evening. \","Yeah, if you find a better one, let me know. I found this one here: commons:Category:Star_symbols.↔•Take a look at Image:Crystal Clear action bookmark.png and Image:Five-pointed star.svg.  If you want me to, I'll try to put these together into a series of ratings star images when I get home this evening. \",0.024142517,0.022139108,0,0.0402
Of Course - Richjard Frye is a historican. I rely on science when come to anthropology. Read Cambridge University DNA mapping of Azaris.,"I think the best rev. is by Tajik right now. Let's keep all refs as they are. As for Azeris being not Turk, do you want to deny Frey or Encyclopedia Iranica? Of Course - Richjard Frye is a historican. I rely on science when come to anthropology. Read Cambridge University DNA mapping of Azaris.",0.016210219,0.07687678,0,0.0864999999999999
Also I'll add this.  There is still way more Euro-american bias out there then one my little article on my people.,"Yeah I know.  But I felt like putting it on there till someone else fixed it.  I'm not the greatest encyclopedia writer, but I do have knowledge and information to share.  Thanks for caring enough to share Also I'll add this.  There is still way more Euro-american bias out there then one my little article on my people.",0.09915545,0.049584184,0,0.1176999999999999
